Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1002919,-,-,-,27.05,18.02,2,485,2,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,,,,,,,,,,,,,,,,,,
2017,1,1,0,30,2.1,0.27,0.075,0.72,0,0,0,0,0,-10.1,0,0,0,0,0.27,39.94,170.91,0.91,0.13,964,0.3,305,3.2,,,,,,,,,,,,,,,,,,
2017,1,1,1,30,1.7,0.32,0.065,0.72,0,0,0,0,0,-10.8,0,0,0,0,0.27,38.92,173.27,0.91,0.13,965,0.3,306,3.3,,,,,,,,,,,,,,,,,,
2017,1,1,2,30,3,0.68,0.08,0.67,0,0,0,0,0,1.1,0,0,0,0,0.273,87.35,160.65,0.94,0.13,967,0.8,336,2.6,,,,,,,,,,,,,,,,,,
2017,1,1,3,30,2.6,0.73,0.087,0.67,0,0,0,0,0,1.8,0,0,0,0,0.273,94.43,147.32,0.95,0.13,967,0.8,335,2.6,,,,,,,,,,,,,,,,,,
2017,1,1,4,30,2.2,0.77,0.091,0.67,0,0,0,0,0,2.2,0,0,0,0,0.273,100,134.01,0.95,0.13,966,0.8,334,2.5,,,,,,,,,,,,,,,,,,
2017,1,1,5,30,2,0.8,0.093,0.67,0,0,0,0,0,2,0,0,0,0,0.273,100,120.83,0.95,0.13,967,0.8,334,2.4,,,,,,,,,,,,,,,,,,
2017,1,1,6,30,1.9,0.82,0.094,0.67,0,0,0,0,0,1.9,0,0,0,0,0.272,100,107.91,0.95,0.13,967,0.9,336,2.4,,,,,,,,,,,,,,,,,,
2017,1,1,7,30,2.6,0.85,0.094,0.67,0,0,0,0,0,1.4,0,0,0,0,0.272,91.83,95.37,0.95,0.13,968,0.9,339,2.8,,,,,,,,,,,,,,,,,,
2017,1,1,8,30,5.3,0.87,0.095,0.67,41,366,84,0,0,0.9,41,366,0,84,0.273,73.48,83.29,0.95,0.13,968,0.9,257,4.1,,,,,,,,,,,,,,,,,,
2017,1,1,9,30,8.2,0.87,0.093,0.67,75,685,283,0,0,1.5,75,685,0,283,0.276,62.85,72.31,0.95,0.13,969,0.9,5,4.3,,,,,,,,,,,,,,,,,,
2017,1,1,10,30,10.1,0.86,0.09,0.67,91,822,468,0,0,1.7,91,822,0,468,0.278,55.86,62.67,0.95,0.13,969,0.9,16,4.1,,,,,,,,,,,,,,,,,,
2017,1,1,11,30,11.5,0.86,0.088,0.67,100,889,607,0,0,1.3,100,889,0,607,0.28,49.48,55.17,0.95,0.13,968,0.9,20,3.8,,,,,,,,,,,,,,,,,,
